liga_pretty,evento,fecha_local,mercado,point_norm,opcion_std,opcion_lbl,odds_pinnacle,odds_soft,odds_soft_raw,odds_diff,median_soft,second_best,best_minus_second,consensus_ratio,p_fair,EV,stake_units,best_bookie,home_team,away_team,point_pin,point_soft,last_update_soft,updated_at
Süper Lig (TUR),Basaksehir vs Kayserispor,17/08/2025 20:30,h2h,,HOME,Local,1.51,1.8,1.8,0.29000000000000004,1.46,1.8,0.0,1.2328767123287672,0.6274091363787929,0.12933644548182732,4.04,betsson,Basaksehir,Kayserispor,,,2025-08-10T21:56:01Z,2025-08-10 23:56:51
Brasileirão Série A (BRA),Santos vs Vasco da Gama,17/08/2025 21:00,h2h,,HOME,Local,1.88,2.18,2.18,0.30000000000000027,2.05,2.08,0.10000000000000009,1.0634146341463417,0.5016952449767945,0.09369563404941217,1.99,marathonbet,Santos,Vasco da Gama,,,2025-08-10T21:56:03Z,2025-08-10 23:56:51
